,similarity
macalpines diner soda fountain,0.7349089401170338
vals getaway des cafeteria,0.73468445060042
joyride taco house,0.7346550401045842
the habit burger grill,0.7346494116220935
applebees grill bar,0.7345259646904287
hillside spot,0.733677362670071
mayo clinic hospital cafeteria,0.7336110035593943
red lobster,0.7331421990843214
five guys,0.7329953285285746
dianas bakery,0.732890114443635
eat by stacey weber,0.7327802108452095
echo sushi,0.7327370932321698
mamma toledos the pie hole,0.7325404373794291
jasons deli,0.7324537086763225
marcias long wongs,0.7320428320995731
frashers smokehouse,0.7312706563911519
jake break cafe,0.731182547769196
mariscos playa del sol,0.7305658715168755
phoenix public market cafe,0.7305269032097939
india palace,0.7304845268608202
mariscos playa hermosa,0.7292880150900771
angry crab shack bbq,0.7291700533438408
red thai,0.7290549823499642
denoras ristorante,0.7290445290983049
bear and the honey specialty bakery,0.7288150135032094
city cafe,0.728416226077544
venezias new york style pizzeria,0.7283292071709727
don jose mexican food,0.7281175901761641
ocean prime,0.7271729764664421
the brittle bush bar grill,0.7265752042561977
johnny rockets,0.7255281090894035
sushi ken,0.7254086524253812
caf zupas,0.7253028631072715
networks,0.7249280477164525
boston market,0.724735927548684
linger longer lounge,0.7246993319679782
uno mas cantina,0.7245408059325642
sun star buffet,0.724489406177389
the flying pigeon,0.723662406453166
lakeside hideout cafe,0.7236444769971246
breakfast club cityscape,0.7235758440854754
phx eats cafe,0.7235314287249415
innout burger,0.7235304388350101
zest of india,0.7233183405790272
the lobby grill,0.7231947609005884
the joy bus diner,0.7230600993828507
xl california burger company,0.7222984725318844
taberna de tequilla,0.7220928649798872
paradise valley burger chase field,0.7219555082076723
3on smith cafe,0.7215885863162637
encanto oasis,0.7215854390839125
grand avenue pizza company,0.7213604228039481
renaissance phoenix downtown hotel,0.7210566567210266
qs fish chips,0.7210438103525321
the dressing room,0.7208131351826236
country boys,0.7207324707193543
sacks sandwiches arcadia,0.7205069455784027
jbs restaurant,0.7204981504338568
lucky boy burger shop,0.7204032399885576
richardsons,0.7203369334835823
taberna del tequila,0.7198127093079801
on the border mexican grill cantina,0.7195999253533306
arizona polish festival,0.7195851698028191
thai esan,0.7195813146476615
the counter,0.71956064434808
mcgurkees italian kitchen,0.7195507466182003
banh mi bistro vietnamese eatery,0.7194833695293035
pho bowl vietnamese cuisine,0.7193788033167248
aunt chiladas squaw peak,0.7187086789579948
ranch house grille,0.7183763413097018
qween creek olive mill,0.718244175167573
casa filipina bakeshop restaurant,0.718162957613965
ladera taverna y cocina,0.7181119730528227
sushi brokers,0.7179547425311839
divinos,0.7172117090562063
ritas italian ice,0.717197906480555
goodcents deli fresh subs,0.717170847422842
five star cafe,0.7169726164292265
uncle tonys pizza,0.7163765853970138
bevvy uptown,0.7161010781777064
cactus tavern,0.7158419729369561
chilis grill bar,0.7155750032285524
floreria eliza,0.7154170709875246
handy hero services,0.7152839571802878
chicago hamburger,0.715233021439222
haps pit barbecue,0.7152291986798629
yogurt mart,0.7150485087967735
brothers pizza,0.7148932789413873
niccolis italian grocery deli,0.7146253455363483
gadzooks enchiladas and soup,0.713798804665565
bar smith,0.7137391269903413
ahwatukee country club,0.7134211662986514
flavors of india,0.7124293310222805
ollie vaughns,0.7123407976737571
kings market,0.7117592490677738
villa pizza,0.7117249668428418
jordans mexican food,0.7115045886448953
dairy queen,0.7113285680000376
base pizzeria,0.7112284032064115
joes diner,0.7106317304779584
el taco santo,0.710618771925577
the original phoenix greek festival,0.710505965821468
original breakfast house,0.7102161866123894
lennys burger shop,0.7099377010055454
georges kitchen,0.7097474106404412
texas bbq house,0.7089573729788514
best of philly,0.7087846029122025
potbelly sandwich shop,0.7086206479660926
mrs whites golden rule cafe,0.7083545599804385
del taco,0.7080625318743226
thirdspace,0.7077552011764691
sip coffee beer garage,0.7069605684266609
cien agaves tacos tequila north scottsdale,0.7069106213168161
cartel coffee lab,0.7068461603244524
matts big breakfast,0.7064706530904417
gallo blanco,0.7064004010731957
pork on a fork,0.705673571403632
crazy jims,0.7056303621118061
dankys barbq,0.705560519659584
imperial kosher market,0.705508948509024
5th avenue cafe,0.7054525913362191
famous rays pizza,0.7052716862119174
jc sushi and chinese,0.705216777512024
el pacifico restaurante y pescaderia,0.7052073205963356
adelas italian,0.7050892955787069
chipotle mexican grill,0.7048444757229477
al rafedin,0.70411597786267
pho noodles,0.7040268160399115
sonic drivein,0.7036409064210579
carlos obriens,0.7031048933215546
old town sarajevo,0.7029113244024001
el chullo peruvian restaurant bar,0.7028965974058002
cafe 1010,0.702735538229706
mad greens central ave camelback,0.7023130594875648
npx a neighborhood joint,0.7021581514642204
2601 on central,0.7021350794374965
corleones,0.7019821908174868
az kabob house,0.7016936771843566
paradise bakery cafe,0.7016544461700147
julios too,0.7013934516344142
new sun star super buffet,0.7012916848847897
bowl of greens fine salads,0.701272089662405
mcdonalds,0.7012097808857469
birrieria y taqueria del yaqui,0.7010452868897441
duck decanter,0.7007467735499796
sacks sandwiches phoenix,0.7003100773028421
pho bar central,0.7000143652142199
san carlos bay seafood restaurant,0.6999375528106557
tilted kilt pub eatery,0.699870481607358
kitchen 56,0.6998331764626454
wild thaiger,0.6993681158720755
cha chas tea lounge,0.6988543829749726
